caseNo,caseName,appname,typename,vision,os,users,amornot,amtype,address,logoimgpath,appdetail,trait,guide,suportdetail,filepath,passcase,model,licenseornot,modelnums,modelnum1,modelname1,limit1,price1,minnum1,maxnum1,modelnum2,modelname2,limit2,price2,minnum2,maxnum2,modelnum3,modelname3,limit3,price3,minnum3,maxnum3
1,按租期无账号,按租期无账号_testui,安全服务,v1.1,Unix,大型企业/集团,1,1,http://www.addapp1.cn,1.png,产品描述,特点,,,,,按租期,0,3,1,租期01,3月/6月/1年,1000/2000/4000,,,2,租期02,6月/2年,1000/6000,,,3,租期03,1年/3年,5000/10000,,
2,按租期有账号,按租期有账号_testui,办公协同,v1.1,Windows,中小企业,1,1,http://www.addapp2.cn,2.png,产品描述1,特点,,,,,按租期,1,1,1,租期01,1年,6000,10,20,,,,,,,,,,,,
3,按次无账号,按次无账号_testui,人力资源,v1.1,其他,中小企业,1,1,http://www.addapp3.cn,3.png,产品描述2,特点,,,,,按次,0,2,1,按次01,,6000,,,2,按次02,,8000,,,,,,,,
4,按次有账号,按次有账号_testui,财务报销,v1.1,Windows,小微企业,1,1,http://www.addapp4.cn,4.png,产品描述3,特点,,,,,按次,1,2,1,按次01,,5000,2,10,2,按次02,,6000,1,10,,,,,,
5,面议,面议_testui,通信服务,v1.1,Linux,中小企业,1,1,http://www.addapp5.cn,5.png,产品描述4,特点,,,,,面议,,,,面议,,,,,,,,,,,,,,,,
6,按租期无账号-不集成,按租期无账号不集成_testui,安全服务,v1.1,Unix,大型企业/集团,0,1,http://www.addapp1.cn,1.png,产品描述,特点,,,,,按租期,0,3,1,租期01,3月/6月/1年,1000/2000/4000,,,2,租期02,6月/2年,1000/6000,,,3,租期03,1年/3年,5000/10000,,
7,按租期有账号-不集成,按租期有账号不集成_testui,办公协同,v1.1,Windows,中小企业,0,1,http://www.addapp2.cn,2.png,产品描述1,特点,,,,,按租期,1,1,1,租期01,1年,6000,10,20,,,,,,,,,,,,
8,按次无账号-不集成,按次无账号不集成_testui,人力资源,v1.1,其他,中小企业,0,1,http://www.addapp3.cn,3.png,产品描述2,特点,,,,,按次,0,2,1,按次01,,6000,,,2,按次02,,8000,,,,,,,,
9,按次有账号-不集成,按次有账号不集成_testui,财务报销,v1.1,Windows,小微企业,0,1,http://www.addapp4.cn,4.png,产品描述3,特点,,,,,按次,1,2,1,按次01,,5000,2,10,2,按次02,,6000,1,10,,,,,,
10,面议-不集成,面议不集成_testui,通信服务,v1.1,Linux,中小企业,0,1,http://www.addapp5.cn,5.png,产品描述4,特点,,,,,面议,,,,面议,,,,,,,,,,,,,,,,
